"Name"	"Abbreviation"	"Direction"
"ENSEMBL"	"ENSEMBL_ID"	"ENSEMBL_ID"
"ENSEMBL_PROTEIN"	"ENSEMBL_PRO_ID"	"ENSEMBL_PRO_ID"
"ENSEMBL_TRANSCRIPT"	"ENSEMBL_TRS_ID"	"ENSEMBL_TRS_ID"
"ENSEMBL_GENOMES"	"ENSEMBLGENOME_ID"	"ENSEMBLGENOME_ID"
"ENSEMBL_GENOMES_PROTEIN"	"ENSEMBLGENOME_PRO_ID"	"ENSEMBLGENOME_PRO_ID"
"ENSEMBL_GENOMES_TRANSCRIPT"	"ENSEMBLGENOME_TRS_ID"	"ENSEMBLGENOME_TRS_ID"
"GENEDB"	"GENEDB_ID"	"GENEDB_ID"
"GENEID_(ENTREZ_GENE)"	"P_ENTREZGENEID"	"P_ENTREZGENEID"
"KEGG"	"KEGG_ID"	"KEGG_ID"
"PATRIC"	"PATRIC_ID"	"PATRIC_ID"
"UCSC"	"UCSC_ID"	"UCSC_ID"
"VECTORBASE"	"VECTORBASE_ID"	"VECTORBASE_ID"
"WBPARASITE"	"WBPARASITE_ID"	"WBPARASITE_ID"
"ARACHNOSERVER"	"ARACHNOSERVER_ID"	"ARACHNOSERVER_ID"
"ARAPORT"	"ARAPORT_ID"	"ARAPORT_ID"
"CCDS"	"CCDS_ID"	"CCDS_ID"
"CGD"	"CGD"	"CGD"
"CONOSERVER"	"CONOSERVER_ID"	"CONOSERVER_ID"
"DICTYBASE"	"DICTYBASE_ID"	"DICTYBASE_ID"
"ECHOBASE"	"ECHOBASE_ID"	"ECHOBASE_ID"
"ECOGENE"	"ECOGENE_ID"	"ECOGENE_ID"
"EUHCVDB"	"EUHCVDB_ID"	"EUHCVDB_ID"
"EUPATHDB"	"EUPATHDB_ID"	"EUPATHDB_ID"
"FLYBASE"	"FLYBASE_ID"	"FLYBASE_ID"
"GENECARDS"	"GENECARDS_ID"	"GENECARDS_ID"
"GENEREVIEWS"	"GENEREVIEWS_ID"	"GENEREVIEWS_ID"
"H-INVDB"	"H_INVDB_ID"	"H_INVDB_ID"
"HGNC"	"HGNC_ID"	"HGNC_ID"
"HPA"	"HPA_ID"	"HPA_ID"
"LEGIOLIST"	"LEGIOLIST_ID"	"LEGIOLIST_ID"
"LEPROMA"	"LEPROMA_ID"	"LEPROMA_ID"
"MAIZEGDB"	"MAIZEGDB_ID"	"MAIZEGDB_ID"
"MGI"	"MGI_ID"	"MGI_ID"
"MIM"	"MIM_ID"	"MIM_ID"
"NEXTPROT"	"NEXTPROT_ID"	"NEXTPROT_ID"
"ORPHANET"	"ORPHANET_ID"	"ORPHANET_ID"
"PHARMGKB"	"PHARMGKB_ID"	"PHARMGKB_ID"
"POMBASE"	"POMBASE_ID"	"POMBASE_ID"
"PSEUDOCAP"	"PSEUDOCAP_ID"	"PSEUDOCAP_ID"
"RGD"	"RGD_ID"	"RGD_ID"
"SGD"	"SGD_ID"	"SGD_ID"
"TUBERCULIST"	"TUBERCULIST_ID"	"TUBERCULIST_ID"
"WORMBASE"	"WORMBASE_ID"	"WORMBASE_ID"
"WORMBASE_PROTEIN"	"WORMBASE_PRO_ID"	"WORMBASE_PRO_ID"
"WORMBASE_TRANSCRIPT"	"WORMBASE_TRS_ID"	"WORMBASE_TRS_ID"
"XENBASE"	"XENBASE_ID"	"XENBASE_ID"
"ZFIN"	"ZFIN_ID"	"ZFIN_ID"
"EGGNOG"	"EGGNOG_ID"	"EGGNOG_ID"
"GENETREE"	"GENETREE_ID"	"GENETREE_ID"
"HOGENOM"	"HOGENOM_ID"	"HOGENOM_ID"
"HOVERGEN"	"HOVERGEN_ID"	"HOVERGEN_ID"
"KO"	"KO_ID"	"KO_ID"
"OMA"	"OMA_ID"	"OMA_ID"
"ORTHODB"	"ORTHODB_ID"	"ORTHODB_ID"
"TREEFAM"	"TREEFAM_ID"	"TREEFAM_ID"
"BIOCYC"	"BIOCYC_ID"	"BIOCYC_ID"
"REACTOME"	"REACTOME_ID"	"REACTOME_ID"
"UNIPATHWAY"	"UNIPATHWAY_ID"	"UNIPATHWAY_ID"
"CLEANEX"	"CLEANEX_ID"	"CLEANEX_ID"
"COLLECTF"	"COLLECTF_ID"	"COLLECTF_ID"
"CHITARS"	"CHITARS_ID"	"CHITARS_ID"
"GENEWIKI"	"GENEWIKI_ID"	"GENEWIKI_ID"
"GENOMERNAI"	"GENOMERNAI_ID"	"GENOMERNAI_ID"
